File_Name,Speaker,Utterance_id,Words,Word_Syllable_Count,Syllable,Syllable_Phones,Syllable_Index,Syllable_position,Word_Index_in_Utt,Word_Index_Reversed,Phrase_Position,Is_Interrogative,Is_Exclamative,Preceded_by_Silence,Followed_by_Silence,Syllable_Start,Syllable_End,Syllable_Duration,Vowel,Start_Time,Quartile_2,End_Time,Duration,Intensity_Q2,Pitch_Q2,F1_mid,F2_mid,Spectral_Tilt_DB,Utterance_Start,Utterance_End,Utterance_Duration,Utt_Syll_Count,Pace_SPS
Matiyo_1_text,silence,Matiyo_1_text_utt_0,tyenwa,2,tye,t j e,0,1,0,3,initial,False,False,False,False,0.0,0.06,0.06,e,0.04,0.05,0.06,0.02,32.1333,0.0,366.9419,1772.2533,-19.5071,0.0,4.71,4.71,13,2.7601
Matiyo_1_text,silence,Matiyo_1_text_utt_0,tyenwa,2,nwa,n w a,1,0,0,3,initial,False,False,False,False,0.06,0.61,0.55,a,0.09,0.35,0.61,0.52,31.8166,0.0,609.522,1707.6552,-14.7736,0.0,4.71,4.71,13,2.7601
Matiyo_1_text,silence,Matiyo_1_text_utt_0,rushpakinri,4,ru,r ɨ,0,3,1,2,medial,False,False,False,False,0.61,0.64,0.03,ɨ,0.62,0.63,0.64,0.02,27.9446,0.0,967.3928,2055.4168,-16.3521,0.0,4.71,4.71,13,2.7601
Matiyo_1_text,silence,Matiyo_1_text_utt_0,rushpakinri,4,shpa,ʃ p a,1,2,1,2,medial,False,False,False,False,0.64,1.49,0.85,a,1.47,1.48,1.49,0.02,30.4614,0.0,370.8169,1702.9783,-19.0604,0.0,4.71,4.71,13,2.7601
Matiyo_1_text,Matiyo_1_text_SPEAKER_02,Matiyo_1_text_utt_0,rushpakinri,4,ki,k i,2,1,1,2,medial,False,False,False,False,1.49,1.58,0.09,i,1.56,1.57,1.58,0.02,79.6797,140.3053,229.9137,2128.0044,-29.6882,0.0,4.71,4.71,13,2.7601
Matiyo_1_text,Matiyo_1_text_SPEAKER_02,Matiyo_1_text_utt_0,rushpakinri,4,nri,n d i,3,0,1,2,medial,False,False,False,True,1.58,1.63,0.05,i,1.61,1.62,1.63,0.02,84.6251,142.5746,317.1436,1946.7564,-29.239,0.0,4.71,4.71,13,2.7601
Matiyo_1_text,Matiyo_1_text_SPEAKER_02,Matiyo_1_text_utt_0,geso,2,ge,h e,0,1,2,1,midfinal,False,False,True,False,2.99,3.2,0.21,e,3.18,3.19,3.2,0.02,86.8735,146.0639,480.9785,1757.8953,-23.8382,0.0,4.71,4.71,13,2.7601
Matiyo_1_text,Matiyo_1_text_SPEAKER_02,Matiyo_1_text_utt_0,geso,2,so,s o,1,0,2,1,midfinal,False,False,False,True,3.2,3.24,0.04,o,3.22,3.23,3.24,0.02,79.0081,126.5646,930.7794,2357.6725,-23.1273,0.0,4.71,4.71,13,2.7601
Matiyo_1_text,silence,Matiyo_1_text_utt_0,kristopirana,5,kri,k r i,0,4,3,0,final,False,False,True,False,4.49,4.54,0.05,i,4.52,4.53,4.54,0.02,38.654,0.0,635.2541,1622.7981,-15.2288,0.0,4.71,4.71,13,2.7601
Matiyo_1_text,silence,Matiyo_1_text_utt_0,kristopirana,5,sto,s t o,1,3,3,0,final,False,False,False,False,4.54,4.6,0.06,o,4.58,4.59,4.6,0.02,31.2024,0.0,429.7162,1621.9238,-16.4623,0.0,4.71,4.71,13,2.7601
