File_Name,Speaker,Utterance_id,Words,Word_Syllable_Count,Syllable,Syllable_Phones,Syllable_Index,Syllable_position,Word_Index_in_Utt,Word_Index_Reversed,Phrase_Position,Is_Interrogative,Is_Exclamative,Preceded_by_Silence,Followed_by_Silence,Syllable_Start,Syllable_End,Syllable_Duration,Vowel,Start_Time,Quartile_2,End_Time,Duration,Intensity_Q2,Pitch_Q2,F1_mid,F2_mid,Spectral_Tilt_DB,Utterance_Start,Utterance_End,Utterance_Duration,Utt_Syll_Count,Pace_SPS,Matteson_Stress,Log_Duration,Log_Pitch,Log_F1,Log_F2,Duration_z,Pitch_z,Intensity_Q2_z,Spectral_Tilt_DB_z,F1_z,F2_z,Pace_SPS_z,Syllable_position_z,Syllable_Index_z,Word_Index_in_Utt_z,Word_Index_Reversed_z
Matiyo_1_text,Matiyo_1_text_SPEAKER_02,Matiyo_1_text_utt_0,rushpakinri,4,ki,k i,2,1,1,2,medial,False,False,False,False,1.49,1.58,0.09,i,1.56,1.57,1.58,0.02,79.6797,140.3053,229.9137,2128.0044,-29.6882,0.0,4.71,4.71,13,2.7601,Primary_stress,-3.912,4.9438,5.4377,7.6629,-0.6116,-0.0508,-0.1253,-1.9748,-1.8489,0.9868,-0.9767,-0.5466,0.2524,-0.4275,0.4606
Matiyo_1_text,Matiyo_1_text_SPEAKER_02,Matiyo_1_text_utt_0,rushpakinri,4,nri,n d i,3,0,1,2,medial,False,False,False,True,1.58,1.63,0.05,i,1.61,1.62,1.63,0.02,84.6251,142.5746,317.1436,1946.7564,-29.239,0.0,4.71,4.71,13,2.7601,Unstressed,-3.912,4.9599,5.7594,7.5739,-0.6116,0.0599,0.6287,-1.8903,-0.9221,0.6877,-0.9767,-1.137,0.8236,-0.4275,0.4606
Matiyo_1_text,Matiyo_1_text_SPEAKER_02,Matiyo_1_text_utt_0,geso,2,ge,h e,0,1,2,1,midfinal,False,False,True,False,2.99,3.2,0.21,e,3.18,3.19,3.2,0.02,86.8735,146.0639,480.9785,1757.8953,-23.8382,0.0,4.71,4.71,13,2.7601,Primary_stress,-3.912,4.984,6.1758,7.4719,-0.6116,0.2267,0.9715,-0.8743,0.2779,0.3447,-0.9767,-0.5466,-0.89,0.2312,-0.2907
Matiyo_1_text,Matiyo_1_text_SPEAKER_02,Matiyo_1_text_utt_0,geso,2,so,s o,1,0,2,1,midfinal,False,False,False,True,3.2,3.24,0.04,o,3.22,3.23,3.24,0.02,79.0081,126.5646,930.7794,2357.6725,-23.1273,0.0,4.71,4.71,13,2.7601,Unstressed,-3.912,4.8408,6.836,7.7654,-0.6116,-0.762,-0.2277,-0.7406,2.1803,1.3312,-0.9767,-1.137,-0.3188,0.2312,-0.2907
Matiyo_1_text,Matiyo_1_text_SPEAKER_02,Matiyo_1_text_utt_1,geso,2,ge,h e,0,1,1,0,final,False,False,True,False,6.3,6.53,0.23,e,6.51,6.52,6.53,0.02,86.3051,133.7107,442.4182,1687.5547,-23.5234,4.78,6.57,1.79,7,3.9106,Primary_stress,-3.912,4.8957,6.0923,7.431,-0.6116,-0.383,0.8849,-0.8151,0.0371,0.2075,-0.4522,-0.5466,-0.89,-0.4275,-1.042
Matiyo_1_text,Matiyo_1_text_SPEAKER_02,Matiyo_1_text_utt_1,geso,2,so,s o,1,0,1,0,final,False,False,False,True,6.53,6.57,0.04,o,6.55,6.56,6.57,0.02,72.2202,107.0135,897.0785,1701.8061,-13.2804,4.78,6.57,1.79,7,3.9106,Unstressed,-3.912,4.673,6.7991,7.4394,-0.6116,-1.9197,-1.2626,1.1117,2.074,0.2358,-0.4522,-1.137,-0.3188,-0.4275,-1.042
Matiyo_1_text,Matiyo_1_text_SPEAKER_02,Matiyo_1_text_utt_2,gawraklopishni,5,ga,h a,0,4,2,1,midfinal,False,False,False,False,7.59,7.62,0.03,a,7.6,7.61,7.62,0.02,57.5377,142.2828,986.3633,1543.6053,-10.8089,6.95,9.12,2.17,9,4.1475,Secondary_stress,-3.912,4.9578,6.894,7.3419,-0.6116,0.0457,-3.5012,1.5767,2.3474,-0.0921,-0.3442,1.2243,-0.89,0.2312,-0.2907
Matiyo_1_text,Matiyo_1_text_SPEAKER_02,Matiyo_1_text_utt_2,gawraklopishni,5,shni,ʃ n i,4,0,2,1,midfinal,False,False,False,True,7.76,7.81,0.05,i,7.79,7.8,7.81,0.02,78.6951,148.1064,786.0726,1321.2426,-13.7427,6.95,9.12,2.17,9,4.1475,Unstressed,-3.912,4.9979,6.667,7.1863,-0.6116,0.3225,-0.2754,1.0248,1.6934,-0.6148,-0.3442,-1.137,1.3948,0.2312,-0.2907
Matiyo_1_text,Matiyo_1_text_SPEAKER_02,Matiyo_1_text_utt_2,tawi,2,ta,t a,0,1,3,0,final,False,False,True,False,9.01,9.05,0.04,a,9.03,9.04,9.05,0.02,83.456,113.9625,485.9028,1755.5502,-20.4576,6.95,9.12,2.17,9,4.1475,Primary_stress,-3.912,4.7359,6.186,7.4705,-0.6116,-1.4856,0.4505,-0.2384,0.3073,0.3403,-0.3442,-0.5466,-0.89,0.8899,-1.042
Matiyo_1_text,Matiyo_1_text_SPEAKER_02,Matiyo_1_text_utt_2,tawi,2,wi,β i,1,0,3,0,final,False,False,False,True,9.05,9.12,0.07,i,9.06,9.09,9.12,0.06,79.2707,103.3028,324.5758,2010.8548,-27.9766,6.95,9.12,2.17,9,4.1475,Unstressed,-2.8134,4.6377,5.7825,7.6063,0.5662,-2.1632,-0.1877,-1.6528,-0.8553,0.7965,-0.3442,-1.137,-0.3188,0.8899,-1.042
